action,reason,job_id,name,status,user,target,dataset,algorithm,cost,ev_hard,config_path
delete,delete old hourly variant; KPIs archived; best hourly kept,01bdf7f9-1c15-4efe-9bef-83bd26b19558,m4safe-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22950.92810745657,0.9989185291997116,configs/m4safe-123-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,d2038ad4-1df9-4456-9a3f-ade65bd44fc0,m4safe-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22952.94867579614,0.9996395097332372,configs/m4safe-456-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,3e609e16-b022-4dfe-862e-af04613c46bc,mh4-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22893.74430260021,0.9996395097332372,configs/mh4-123-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,00d55364-fd33-4b27-982f-fc1005be6988,mh4-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22941.338210524078,0.9996395097332372,configs/mh4-456-ef10014.yaml
keep,keep final baseline reference,27694ecd-25a9-4fcc-b8f9-09c2ff14afef,15m-basic,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCBasicPolicy,24749.645457200313,1.0,configs/15m-basic-sha3d9a926.yaml
keep,keep final baseline reference,66050c41-6454-4f6e-b49d-d5c2b65f1f0b,15m-smart,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCSmartPolicy,23285.59413448094,0.9992727272727273,configs/15m-smart-sha3d9a926.yaml
keep,keep final baseline reference,86d498c1-f064-449d-b9b2-1ff6078051c7,15m-comm,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCCommunityPolicy,22839.312415357534,0.9992727272727273,configs/15m-comm-sha3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,708916e0-c9de-4da4-9dd1-787114c9eed9,15m-mctx-s123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,2800.5278921511326,1.0,configs/15m-mctx-s123-sha3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,623ab450-4fc6-4666-ba04-bf6b8b628c97,15m-mctx-s456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,2800.5278921511326,1.0,configs/15m-mctx-s456-sha3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,bab75925-8b70-4ec0-94cc-6db9eac552a9,15w4-smart,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCSmartPolicy,2876.374822635592,1.0,configs/15w4-smart-3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,48ab1556-ceb4-499c-ad72-c583cf7cac79,15w4-comm,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCCommunityPolicy,2806.833427989203,1.0,configs/15w4-comm-3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,dd906f23-5522-4979-a118-d3f14e51240d,15w16-smart,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCSmartPolicy,9531.837589552637,1.0,configs/15w16-smart-3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,059f83f6-2670-4114-afe8-f8a968a3beaf,15w16-comm,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,RBCCommunityPolicy,9419.995704688428,1.0,configs/15w16-comm-3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,5d5e16aa-1f91-4660-911b-9d5d1a632906,15m-m16e2-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9407.045639462516,0.999219968798752,configs/15m-m16e2-123-3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,9df2fb88-89ad-4edc-bc12-02f3434ddd03,15m-m16e2-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9520.05746866672,1.0,configs/15m-m16e2-456-3d9a926.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,e0747cd9-8e5c-42cf-ba7d-aaa2416f39e9,15s12-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9476.118271481584,1.0,configs/tf_15s12-123.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,2e1b90cb-b6e7-4024-b530-3345f20d4ccd,15s12-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9542.68388408234,1.0,configs/tf_15s12-456.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,7e861cd1-9b5e-4204-9387-099a85d4bbc2,15s15-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9435.975046979149,1.0,configs/tf_15s15-123.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,2bfe5932-b4ac-4851-b828-bbd6c97c26a7,15s15-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9471.292937115,1.0,configs/tf_15s15-456.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,031ed0f5-6043-41b3-b3fc-303bba75f218,15p15-123,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9482.926002877548,1.0,configs/tf_15p15-123.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,c9d613b2-241a-4e0d-8799-f39f862aee16,15p15-456,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,9426.654621647569,1.0,configs/tf_15p15-456.yaml
keep,keep final baseline reference,376782a2-93c5-45f0-9b70-96e3ef93c17a,22m-basic-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,RBCBasicPolicy,32308.12382183291,1.0,configs/22m-basic-fy.yaml
keep,keep final baseline reference,dba3132e-30d4-4e81-bbf0-8ce89a2cf968,22m-comm-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,RBCCommunityPolicy,32061.826528558686,1.0,configs/22m-comm-fy.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,0c4d4870-dbaa-4181-b992-4abe43e0eb7f,22m-p15-456-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32136.2999693791,1.0,configs/22m-p15-456-fy.yaml
keep,keep final baseline reference,503c119a-2e33-43c6-9ee1-0b3e493707e0,22m-smart-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,RBCSmartPolicy,31975.16937516475,1.0,configs/22m-smart-fy.yaml
keep,keep best learned run for 2022 15min dataset,eed07d0f-046a-49b5-ab87-160e25dc74f7,22m-mctx4h-456-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32042.860745259866,1.0,configs/22m-mctx4h-456-fy.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,aebadd56-f14f-4e13-9400-ac495d282ebc,22c-sm10-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32157.98514857592,1.0,configs/22c-sm10-fy.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,c1ab3190-48a3-4fe9-924f-5e73062cd21f,22c-sm18-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32362.991933349316,1.0,configs/22c-sm18-fy.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,9e4842cd-bb32-4362-a32b-d0743e63dd91,22c-stor-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32348.476728839694,1.0,configs/22c-stor-fy.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,e39889d8-c624-4a7d-9091-ac2f8c339258,22c-push-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32474.31664751901,1.0,configs/22c-push-fy.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,858946b2-b65c-45f2-9ce6-7d0a1ee9353d,h-m4-789,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22863.78359015706,0.9996395097332372,configs/h-m4-789-497ac41.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,36cc64a0-00fd-49d1-adb1-454b9d61e65d,h-m4-999,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22851.294125064225,0.9992790194664743,configs/h-m4-999-497ac41.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,a04031ad-95e1-4541-984d-1742337c737f,h-m6-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22938.94487045349,0.998197548666186,configs/h-m6-123-497ac41.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,f8b261c8-9540-4874-82af-49f1deb5df64,h-m6-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22895.532170900267,1.0,configs/h-m6-456-497ac41.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,850655d1-7467-4d33-8c89-985b609ca6fd,m15-p15,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32136.2999693791,1.0,configs/m15-p15-497ac41.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,d00b8395-c9da-42ca-a72a-6e9788a18cb4,m15-htr,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32042.860745259866,1.0,configs/m15-htr-497ac41.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,e3b57d34-3b78-48ca-8f47-d94695ae6a77,m15-sm10,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32157.98514857592,1.0,configs/m15-sm10-497ac41.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,5ab94237-8da3-49ec-9b54-e8ef3f58e270,m15-sm18,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32362.991933349316,1.0,configs/m15-sm18-497ac41.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,dec5d611-4eb3-4742-8c77-60d9bb31a6a0,15t-mctx4-fy,finished,Tiago Fonseca,tiago-laptop,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,22731.44540314992,0.9989094874591058,configs/15t-mctx4-fy-sha-497ac41.yaml
keep,keep best current 15min three-phase candidate,f7dbed6b-b9d3-460b-8d8a-dfccbed944ce,15t-cost4-fy-srv-r2,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,22664.58898813118,0.9974554707379135,configs/15t-cost4-fy-srv-r2-sha-497ac41.yaml
delete,delete failed/non-finished archived run,6ebc3836-cec2-491f-b058-2b8fc84022d2,15t-free4-fy-srv-r2,failed,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,,,configs/15t-free4-fy-srv-r2-sha-497ac41.yaml
delete,delete old/duplicate 15min variant; KPIs archived; best/baselines kept,b60ce420-f860-4851-87a6-a8d085930414,j-xav-mat-4096-r6,finished,Tiago Fonseca,jetson-xavier,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,2800.5278921511326,1.0,configs/j-xav-mat-4096-r6-sha-4171a8c.yaml
